Altitude (m),Temperature (deg C),Gravity (m/s2),Pressure (N/m2),Density (kg/m3),Dynamic Viscosity (N*s/m2)
7500,-33.69255032709191,9.783550230946561,38299.66798370353,0.5571918597280658,1.5442191260974684e-05
7600,-34.34100904944813,9.78324278560577,37757.67716413411,0.550798440432038,1.540806555578978e-05
7700,-34.989447394329716,9.782935354756825,37221.93046291039,0.5444614942672344,1.5373899315723246e-05
7800,-35.63786536269714,9.782627938398818,36692.372412441175,0.5381806718395871,1.5339692428355098e-05
7900,-36.28626295551095,9.78232053653084,36168.947891542426,0.5319556249948024,1.5305444780895325e-05
8000,-36.93464017373145,9.782013149151975,35651.602124181474,0.5257860068171589,1.5271156260183636e-05
8100,-37.58299701831902,9.781705776261319,35140.28067822311,0.5196714716283131,1.523682675268921e-05
8200,-38.23133349023388,9.781398417857957,34634.92946417647,0.5136116749860935,1.5202456144510469e-05
8300,-38.87964959043629,9.78109107394098,34135.49473394384,0.5076062736833035,1.5168044321374895e-05
8400,-39.527945319886385,9.780783744509478,33641.92307957041,0.501654925746516,1.5133591168638865e-05
8500,-40.17622067954426,9.78047642956254,33154.161431995664,0.4957572904348695,1.5099096571287509e-05
8600,-40.824475670369935,9.780169129099257,32672.15705980598,0.489913028238863,1.5064560413934625e-05
8700,-41.47271029332336,9.779861843118718,32195.857567988733,0.4841218008791498,1.5029982580822612e-05
8800,-42.1209245493645,9.779554571620011,31725.210896687604,0.4783832713053279,1.499536295582241e-05
8900,-42.76911843945314,9.77924731460223,31260.165319959546,0.47269710369473367,1.4960701422433513e-05
9000,-43.41729196454912,9.778940072064461,30800.669444532756,0.46706296345122866,1.492599786378401e-05
9100,-44.06544512561214,9.7786328440058,30346.672208566357,0.46148051720398975,1.489125216263063e-05
9200,-44.71357792360186,9.778325630425332,29898.122880411272,0.45594943280629574,1.4856464201358862e-05
9300,-45.361690359477905,9.778018431322149,29454.9710573725,0.45046937933431264,1.4821633861983073e-05
9400,-46.00978243419979,9.77771124669534,29017.16666447287,0.44504002708587903,1.4786761026146727e-05
9500,-46.65785414872704,9.777404076543997,28584.659953218026,0.43966104757928887,1.4751845575122538e-05
9600,-47.30590550401908,9.77709692086721,28157.401500362932,0.43433211355207313,1.4716887389812803e-05
9700,-47.95393650103526,9.77678977966407,27735.342206679703,0.4290528989597814,1.4681886350749626e-05
9800,-48.60194714073489,9.776482652933666,27318.433295726787,0.4238230789747601,1.4646842338095307e-05
9900,-49.24993742407722,9.77617554067509,26906.62631261954,0.4186423299849304,1.4611755231642708e-05
10000,-49.897907352021406,9.775868442887434,26499.87312280235,0.4135103295925664,1.4576624910815678e-05
10100,-50.54585692552661,9.775561359569787,26098.125910821862,0.4084267566130689,1.4541451254669523e-05
10200,-51.19378614555188,9.775254290721243,25701.33717910179,0.4033912910737392,1.4506234141891537e-05
10300,-51.84169501305624,9.774947236340887,25309.459746719138,0.3984036142125536,1.4470973450801558e-05
10400,-52.48958352899862,9.774640196427816,24922.446748181635,0.393463408476932,1.4435669059352578e-05
